CPU   THREAD             VAL             ENA             RUN            TIME EVENT
 -1     1615           40553      1613684056       239997886      1614206656 LLC-load-misses
 -1     1615          211074      1613690091       239996690      1614206656 LLC-loads
 -1     1615          105471      1613696247       239996149      1614206656 dTLB-load-misses
 -1     1615       175348731      1613704476       239997948      1614206656 dTLB-loads
 -1     1615           17152      1613708139       239994918      1614206656 dTLB-store-misses
 -1     1615        90997818      1613720472       239996593      1614206656 dTLB-stores
 -1     1615           25837      1613724515       240001034      1614206656 iTLB-load-misses
 -1     1615       644541889      1613728259       239996057      1614206656 iTLB-loads
 -1     1615        84696387      1613731780       239997616      1614206656 branch-load-misses
 -1     1615       129010255      1613735352       239996813      1614206656 branch-loads
 -1     1615               0      1613738987       239994209      1614206656 mem-loads
 -1     1615       100052369      1613744374       239328282      1614206656 stalled-cycles-backend
 -1     1615       222996924      1613750472       235241572      1614206656 stalled-cycles-frontend
